topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9,topic_10,topic_11,topic_12,topic_13,topic_14,source_row_id,dominant_topic,dominant_topic_prob
0.01666667774285442,0.01666667669500991,0.01666667127713767,0.016666682149273932,0.016666703518306167,0.016666674605333092,0.7666664436668922,0.01666669891307093,0.01666670909775012,0.01666668550032783,0.016666691602175925,0.016666670200142123,0.016666668852334778,0.016666673647496404,0.016666672531894754,0,6,0.7666664436668922
0.016666666666679108,0.016666681226822775,0.016666748682763636,0.016666666666678615,0.016666666666678615,0.01666667620713341,0.016666688866665936,0.016666699421124403,0.766666350332226,0.016666672846976514,0.016666666666679025,0.01666666666667903,0.016666801638362826,0.01666668077784888,0.01666666666668127,2,8,0.766666350332226
0.008333372052733438,0.008333336289537637,0.008333341700214525,0.34543462558628985,0.008333355989637099,0.008333334076201768,0.5462318894633734,0.008333349988469067,0.008333365723396938,0.008333337801589645,0.008333341618860374,0.00833333996462789,0.008333334702725884,0.008333340733604838,0.00833333430873752,3,6,0.5462318894633734
0.301241903034759,0.0010101066800528354,0.00101010392661952,0.0010101034980581894,0.1836407888668579,0.0010101030912692181,0.0010101044965974229,0.0010101033899317306,0.22971909599540263,0.0010101018985795122,0.0010101027701704124,0.001010103157835396,0.08325072501251761,0.19204645192007627,0.0010101022612725075,4,0,0.301241903034759
0.007407409655389601,0.0074074256847105465,0.007407409664089511,0.0074074182007523234,0.007407419233519644,0.16001315466103513,0.007407442922449499,0.007407413111812606,0.2656034558669919,0.4854943693048381,0.007407408126306618,0.007407412085370185,0.007407414225877593,0.007407435224441428,0.0074074120324154604,5,9,0.4854943693048381
0.01666666666667373,0.016666697007604838,0.016666675779042774,0.016666724644486677,0.44111293565976845,0.016666699394446205,0.01666667756320139,0.0166666666666732,0.016666666666673505,0.34222022904939836,0.01666666666667368,0.01666666858180838,0.016666671257748178,0.016666675383715517,0.016666679012085166,6,4,0.44111293565976845
0.013333363014545631,0.013333333333335206,0.013333348101728551,0.013333333333335229,0.8133331198479679,0.013333345028477,0.01333334125843328,0.013333364657560997,0.013333349085819526,0.013333336083893298,0.013333385143195771,0.013333338304166827,0.013333352127757539,0.013333355285186393,0.01333333539459679,7,4,0.8133331198479679
0.0033333509294698116,0.0033333392182788306,0.003333342404414751,0.1399382492604195,0.6615663475439907,0.0033333377468992152,0.15849533465689652,0.003333336841194876,0.003333339975829779,0.00333334035803297,0.003333335580798388,0.0033333367368135604,0.0033333353136302786,0.0033333382006801773,0.0033333352326508007,8,4,0.6615663475439907
0.016666668782515888,0.016666690716365035,0.016666668922428362,0.016666707174613,0.01666667508748178,0.01666668073748135,0.01666667236500318,0.016666668805743693,0.01666666940086063,0.7666665277723689,0.01666666755617955,0.016666667267682737,0.016666667111335756,0.016666666873809056,0.016666701426131043,10,9,0.7666665277723689
0.002150542218192437,0.6099461339903864,0.0021505407341371996,0.1787709391406185,0.0021505450880393642,0.002150546448077481,0.0021505420335247946,0.0021505396550394167,0.18547642470089454,0.002150541370343319,0.002150541757642506,0.002150539956973507,0.0021505395020131857,0.0021505438977060115,0.0021505395064113303,12,1,0.6099461339903864
0.0020833377946251363,0.5777600252543792,0.0020833362665118684,0.15876722570833346,0.0020833404526134913,0.002083341720526984,0.00208333733095185,0.0020833352895879517,0.2384727008564794,0.002083336977253746,0.0020833371403661794,0.002083335590558689,0.002083335146110669,0.0020833393615223533,0.00208333511017893,13,1,0.5777600252543792
0.00555556052969067,0.00555558378586219,0.0055555639761055335,0.41216768626415085,0.005555573397028384,0.13901468674631487,0.3821507756618524,0.005555559833003614,0.005555593072334787,0.005555559583255837,0.005555569090879323,0.005555600261440354,0.005555559604697262,0.005555569261203693,0.005555558932180174,14,3,0.41216768626415085
0.005128208548568681,0.00512820798048368,0.005128207354329457,0.9282050650676454,0.005128211907298348,0.005128207889537256,0.005128211263273794,0.0051282107420830515,0.005128211387067727,0.005128211886730903,0.005128207938129502,0.005128208118215815,0.005128209600899038,0.005128214922258593,0.00512820539347879,15,3,0.9282050650676454
0.0066666689427878996,0.0066666921114904125,0.0066666698480641285,0.00666667359434759,0.006666677019748511,0.5788357449248572,0.006666672065168599,0.006666668246948491,0.19812629527116382,0.006666674678415271,0.006666676317522997,0.006666668995287044,0.006666667616474563,0.14303787900795112,0.006666671359772436,16,5,0.5788357449248572
0.002298855655083441,0.28095188822453904,0.0022988593002448293,0.002298855232486926,0.002298855743492035,0.10868226117326488,0.0022988546116303236,0.19422189040899498,0.16455754285253762,0.0022988560668674484,0.22859786007118263,0.002298855797669008,0.0022988587954274158,0.002298854523936291,0.002298851542643292,18,1,0.28095188822453904
0.004444447919841441,0.29069083704975934,0.004444470018447624,0.004444448041600675,0.00444445414263151,0.14062173612424683,0.39757267786143885,0.004444478260200229,0.0044444459036072715,0.004444449445514037,0.12222572920119043,0.00444444543389165,0.004444459158295882,0.004444465350159415,0.004444456089174897,19,6,0.39757267786143885
0.0044444522068875815,0.004444457352656823,0.0044444483883669325,0.004444462153865967,0.004444461511734106,0.004444457781806836,0.21684486491076688,0.17950550608986396,0.004444454057491782,0.550316185494486,0.0044444534568284354,0.004444451278626336,0.004444447504669584,0.004444449688286565,0.004444448123662159,20,9,0.550316185494486
0.8666665245569789,0.009523809523811239,0.009523820220047548,0.009523823953742561,0.00952382294153238,0.009523809523811155,0.009523811785103706,0.009523812076709114,0.009523811818474713,0.009523818071444869,0.00952381259889487,0.009523881024739996,0.009523809904625986,0.009523822476271284,0.009523809523811627,22,0,0.8666665245569789
0.011111111523075002,0.01111112447089735,0.011111115087512027,0.8444443447650698,0.011111126000425605,0.011111114511597417,0.011111116586723849,0.011111114561476659,0.011111134763524272,0.011111120219430741,0.011111111111113204,0.011111114441661487,0.01111111964219857,0.011111116325539737,0.011111115989754164,23,3,0.8444443447650698
0.006060606306828265,0.006060613945387969,0.006060611535874496,0.0060606360777317935,0.33143388292968984,0.5897781188173778,0.006060619080442231,0.006060606900545199,0.006060633629511932,0.006060612626763531,0.006060607001292126,0.006060606060609911,0.006060613704911447,0.006060609856707196,0.006060621526326241,24,5,0.5897781188173778
0.0055555564901420265,0.005555558581055313,0.005555559134862593,0.23212041415349347,0.005555571098392822,0.5662904066410464,0.13492240817740034,0.0055555639162518065,0.005555586359422523,0.005555565764685899,0.005555559378145773,0.005555567951709069,0.00555555839932319,0.005555566637506978,0.005555557316561605,25,5,0.5662904066410464
0.6445661751725377,0.004444446719548673,0.004444447487062603,0.0044444660820678735,0.00444445089609902,0.0044444534585736176,0.004444458481771362,0.0044444488413825966,0.2976559618094026,0.004444449269712886,0.004444445444682643,0.004444446357746245,0.004444448418538068,0.004444453330344141,0.004444448230530285,26,0,0.6445661751725377
0.013333335707707507,0.013333336440669771,0.013333334175415526,0.0133333341610059,0.8133332672443486,0.013333337141840734,0.013333357634973233,0.013333347359242798,0.01333333333333597,0.013333333333335983,0.013333335120381226,0.013333340638411819,0.013333341042658733,0.013333333333335964,0.013333333333336514,27,4,0.8133332672443486
0.004761907506570604,0.004761908051866945,0.004761906911692559,0.9333332790901097,0.004761914045919751,0.0047619097647858145,0.004761909647970467,0.004761908145632211,0.004761910650161016,0.004761910103514178,0.004761908094959173,0.004761908675118349,0.004761906203561382,0.004761907299098709,0.00476190580903916,28,3,0.9333332790901097
0.006060612029727724,0.006060612949706352,0.00606060665460507,0.24996574393631307,0.006060614333862181,0.006060610310642336,0.00606061831076505,0.006060607683836023,0.6712463116270178,0.006060609607648811,0.00606060606060771,0.006060610278294796,0.006060611576908268,0.006060611754901694,0.006060612885163054,30,8,0.6712463116270178
0.004444445151292295,0.004444451548363,0.0044444455367820225,0.46810429077696647,0.00444446689734712,0.0044444532191821595,0.39786656861229824,0.004444447738453447,0.004444452847345482,0.004444449180602292,0.004444447583822449,0.004444446903516911,0.004444444979601299,0.08069574395344792,0.004444445070978779,31,3,0.46810429077696647
0.0026666751669005397,0.14134008968630832,0.0026666723876011262,0.2929106205247438,0.002666680925956709,0.22286663448186414,0.002666673526426039,0.002666672849342502,0.0026666710607074562,0.0026666708934912535,0.0026666670537377492,0.0026666704976553517,0.002666672253252094,0.3135492584976054,0.002666670194407486,33,13,0.3135492584976054
0.009523824910506289,0.009523820634764106,0.16154569336788172,0.00952384688841641,0.009523840243008142,0.009523846709257665,0.48747967114376867,0.009523826997385743,0.0095238438258887,0.23668867251819406,0.009523828275014384,0.009523832343469638,0.009523812003203232,0.009523820920470707,0.009523819218770598,34,6,0.48747967114376867
0.008333334016820263,0.00833335467348825,0.008333336815315444,0.8833332150864399,0.008333341528342978,0.008333339199489776,0.008333341460555631,0.008333338130649555,0.008333370903040557,0.008333342855503146,0.008333336897951692,0.008333338378055418,0.008333335264417598,0.008333340041007995,0.008333334748921676,35,3,0.8833332150864399
0.33925573338309967,0.004761905844044064,0.004761908729214332,0.004761912226509722,0.2134214169691196,0.004761911210485276,0.004761915148094254,0.004761908437951825,0.39017993862346767,0.004761909566191944,0.004761906712730012,0.004761907994078453,0.004761907077667483,0.004761912916791794,0.004761905160553966,36,8,0.39017993862346767
0.003921571623732256,0.6797892621527136,0.003921570891667097,0.26923026947173206,0.003921576639217529,0.003921575332147364,0.003921576008370444,0.003921572919824873,0.003921586122259792,0.003921574143776925,0.003921570209438283,0.003921577652036695,0.003921570098986675,0.003921576546963282,0.003921570187132859,37,1,0.6797892621527136
0.007407413640929332,0.007407440207688642,0.007407408169376467,0.8962961571628816,0.007407434763989698,0.0074074133264804285,0.0074074180343187525,0.007407408340296237,0.007407421662984926,0.00740742048894888,0.007407407971269156,0.007407425748102939,0.00740741374063234,0.0074074087492057026,0.007407407992894934,38,3,0.8962961571628816
